,id,nome_escola,tipo_escola,endereço,número,bairro,subprefeitura,lat,lon,quantidade
122,687,TASSO DA SILVEIRA,EM,RUA GENERAL BERNARDINO DE MATOS,S/N,REALENGO,GRANDE BANGU,-22.88386,-43.41733,0
123,568,VISCONDE DE PORTO SEGURO,EM,RUA TEOFILO GUIMARAES,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362
124,399,CLEMENTINA DE JESUS,CIEP,AVENIDA ALHAMBRA,S/N,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71
125,255,FRANCISCO CAVALCANTE PONTES DE MIRANDA,CIEP,ESTRADA MORICABA,S/N,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591
126,262,HERIVELTO MARTINS,CIEP,PRACA SANTO ANASTACIO ,S/N,AUGUSTO VASCONCELOS,,-22.88649,-43.5288,221
127,616,PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS ,S/N,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372
128,320,MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA ,97,COSMOS,ZONA OESTE,-22.91097,-43.61605,479
129,144,ALFREDO CESARIO ALVIM,EM,RUA RIO DA PRATA  RUA LUISA MARILAC ,20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99
130,534,CORA CORALINA,EM,RUA VOTORANTIM S/N KM 10,MENDANHA,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157
131,342,FERNANDO COSTA,EM,RUA JOSE ALBANO ,S/N,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296
132,052,PROFESSOR PAULO SILVA,EM,RUA JAIRO CORREA,S/N,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330
133,139,JESUS SOARES PEREIRA,EM,RUA CONSOLACAO,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316
134,323,ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO,S/N,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106
135,573,PUBLICA MAJOR MANUEL GOMES ARCHER,CIE,RUA CABO SAULO DE VASCONCELOS,S/N,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207
136,560,ANDRE VIDAL DE NEGREIROS,EM,RUA FELIPE CARDOSO,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308
137,246,FERNANDO AZEVEDO,EM,RUA DAS PALMEIRAS IMPERIAIS,S/N,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459
138,319,MARECHAL PEDRO CAVALCANTI,EM,RUA PORTO FIRME,S/N,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537
139,584,NELSON ROMERO,EM,RUA JOSE BALDINO,S/N,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342
140,311,PESTALOZZI,EM,RUA SEVERIANO DAS CHAGAS,S/N,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162
141,316,PROFESSORA FLAVIA DOS SANTOS SOARES,EM,RUA EUDALDO GOMES DA SILVA S/N CONJ,URUCANIA,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579
142,497,PROFESSORA LEILA MEHL MENEZES DE MATTOS,EM,AVENIDA MARIO PEREIRA DOS SANTOS,S/N,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517
143,297,PROFESSORA SILVIA DE ARAUJO TOLEDO,EM,AVENIDA CANAL 3 S/N CONJ.,CESARAO,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,0
144,068,WALQUIR PEREIRA,EM,ESTRADA DE SEPETIBA S/N BLOCO,1,NOVA SEPETIBA,,-22.95601,-43.68675,135
145,515,HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA ,S/N,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341
146,289,BERTHA LUTZ,EM,ESTRADA DO PIAI,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329
147,210,DEBORA MENDES DE MORAES,EM,RUA BELCHIOR DA FONSECA,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570
148,474,ENGENHEIRO GASTAO RANGEL,EM,ESTRADA DO MAGARCA,9.183,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320
149,301,JONATAS SERRANO,EM,ESTRADA DO MATO ALTO ,S/N,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335
150,215,NARCISA AMALIA,EM,ESTRADA TEODORETO DE CAMARGO,S/N,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,0
151,606,PROFESSOR CASTILHO,EM,CAMINHO DA MATRIZ,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521
